harry potter:30
potter and:1
and the:1891
the sorcerer:12
sorcerer stone:13
stone chapter:1
chapter one:1
one the:4
the boy:29
boy who:7
who lived:8
lived mr:1
and mrs:7
of number:4
number four:8
privet drive:16
were proud:3
proud to:1
to say:138
say that:61
that they:311
they were:821
were perfectly:1
perfectly normal:2
thank you:41
you very:9
very much:41
were the:67
the last:282
last people:1
people you:1
you expect:4
expect to:7
to be:712
be involved:2
involved in:2
in anything:6
anything strange:1
strange or:1
or mysterious:1
because they:35
they just:13
just didn:1
didn hold:2
hold with:6
with such:21
such nonsense:2
dursley was:5
was the:284
the director:1
director of:1
of a:497
a firm:3
firm called:1
called grunnings:1
which made:6
made drills:1
he was:1055
was a:763
a big:25
beefy man:1
man with:11
with hardly:2
hardly any:5
any neck:2
although he:8
he did:201
did have:2
have a:154
a very:116
very large:6
large mustache:1
was thin:2
thin and:15
and blonde:1
blonde and:1
and had:98
had nearly:4
nearly twice:2
twice the:5
the usual:9
usual amount:1
amount of:3
of neck:1
which came:5
came in:55
in very:4
very useful:5
useful as:1
as she:38
she spent:1
spent so:1
so much:62
much of:33
of her:54
her time:1
time craning:1
craning over:1
over garden:1
garden fences:1
spying on:3
on the:1458
the neighbors:2
the dursleys:49
dursleys had:8
had a:220
a small:119
small son:2
son called:2
called dudley:1
dudley and:8
and in:229
in their:193
their opinion:4
opinion there:1
there was:819
was no:189
no finer:1
finer boy:1
boy anywhere:1
had everything:2
everything they:1
they wanted:9
but they:245
they also:4
also had:6
a secret:17
and their:183
their greatest:3
greatest fear:3
fear was:13
was that:74
that somebody:3
somebody would:1
would discover:2
discover it:1
they didn:28
didn think:6
think they:26
they could:304
could bear:11
bear it:14
it if:5
if anyone:16
anyone found:2
found out:37
out about:5
about the:205
the potters:11
potter was:2
was mrs:1
dursley sister:1
they hadn:9
hadn met:1
met for:1
for several:12
several years:3
in fact:63
dursley pretended:1
pretended she:2
she didn:9
didn have:20
a sister:4
because her:1
her sister:2
sister and:2
and her:36
her good:2
good for:18
for nothing:11
nothing husband:1
husband were:1
were as:13
as undursleyish:1
undursleyish as:1
as it:198
it was:1412
was possible:4
possible to:6
dursleys shuddered:1
shuddered to:1
to think:95
think what:8
what the:67
neighbors would:1
would say:19
say if:4
if the:116
potters arrived:1
arrived in:7
in the:3475
the street:22
dursleys knew:1
knew that:69
that the:469
potters had:1
they had:625
had never:87
never even:7
even seen:2
seen him:25
this boy:5
boy was:3
was another:15
another good:1
good reason:6
reason for:10
for keeping:1
keeping the:3
potters away:1
didn want:8
want dudley:1
dudley mixing:1
mixing with:1
with a:589
a child:8
child like:1
like that:41
when mr:5
dursley woke:1
woke up:20
up on:51
the dull:4
gray tuesday:1
tuesday our:1
our story:3
story starts:1
was nothing:24
nothing about:9
the cloudy:3
cloudy sky:2
sky outside:2
outside to:2
to suggest:2
suggest that:1
that strange:6
strange and:12
and mysterious:2
mysterious things:1
things would:4
would soon:15
soon be:21
be happening:2
happening all:1
all over:42
over the:429
the country:33
dursley hummed:1
hummed as:1
as he:538
he picked:11
picked out:3
out his:43
his most:4
most boring:2
boring tie:1
tie for:1
for work:1
dursley gossiped:1
gossiped away:1
away happily:1
happily as:2
she wrestled:1
wrestled a:1
a screaming:1
screaming dudley:1
dudley into:3
into his:83
his high:7
high chair:2
none of:46
of them:337
them noticed:1
noticed a:7
a large:110
tawny owl:1
owl flutter:2
flutter past:1
past the:22
the window:51
at half:3
half past:8
past eight:2
dursley picked:1
picked up:31
up his:69
his briefcase:1
pecked mrs:1
dursley on:1
the cheek:5
and tried:20
tried to:118
to kiss:3
kiss dudley:1
dudley good:1
good bye:40
bye but:1
but missed:1
because dudley:2
dudley was:10
was now:136
now having:2
having a:13
a tantrum:2
tantrum and:1
and throwing:4
throwing his:1
his cereal:1
cereal at:1
at the:978
the walls:126
little tyke:2
chortled mr:1
dursley as:1
he left:30
left the:91
the house:143
he got:98
got into:10
his car:2
car and:3
and backed:4
backed out:1
